domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
skbhyifeuoxbaonqkokjlraec,dga,0.48,2523.04,108.125,0.5217391304347826,0.0,0.0,25.0,0.5625,0.0
davidsbridal,legit,5.75,3163.1666666666665,206.63636363636363,9.3,0.8888888888888888,0.0,12.0,0.5,0.0
eurobricks,legit,9.0,3282.3,234.44444444444446,16.75,0.7142857142857143,0.0,10.0,0.6666666666666666,0.0
uploadcore,legit,18.6,3351.3,334.44444444444446,19.5,1.8571428571428572,0.0,10.0,1.0,0.0
oashlncxtacjm,dga,0.9230769230769231,2772.6153846153848,133.58333333333334,3.6363636363636362,0.0,0.0,13.0,0.3,0.0
jocurile,legit,9.75,3230.625,285.14285714285717,20.5,1.0,0.0,8.0,1.0,0.0
relayforlife,legit,15.5,3460.0,308.09090909090907,23.0,2.888888888888889,0.125,12.0,0.7142857142857143,0.0
dubaipolice,legit,9.818181818181818,3203.818181818182,240.9,18.77777777777778,4.0,1.2857142857142858,11.0,1.2,0.0
nxnpldvlhbbbw,dga,0.0,1797.8461538461538,27.5,0.0,0.0,0.0,13.0,0.0,0.0
mildicasdemae,legit,18.46153846153846,3635.076923076923,256.8333333333333,24.727272727272727,2.5,0.0,13.0,0.8571428571428571,0.0
xianguo,legit,2.5714285714285716,2942.0,311.5,20.4,1.0,0.0,7.0,1.3333333333333333,0.0
surveymonkey,legit,27.0,2945.4166666666665,242.36363636363637,16.1,2.4444444444444446,1.0,12.0,0.5,0.0
umydpxwdjxsxjgl,dga,0.0,1405.1333333333334,11.642857142857142,0.0,0.0,0.0,15.0,0.07142857142857142,0.0
echodnia,legit,8.625,3619.625,201.14285714285714,9.666666666666666,0.2,0.0,8.0,1.0,0.0
tribunnews,legit,27.6,3496.7,213.11111111111111,24.0,5.857142857142857,2.8333333333333335,10.0,0.42857142857142855,0.0
technobuzz,legit,10.2,2489.2,206.77777777777777,9.125,4.285714285714286,2.6666666666666665,10.0,0.42857142857142855,0.0
8888day,legit,0.0,1133.5714285714287,42.5,6.8,0.0,0.0,7.0,0.16666666666666666,0.5714285714285714
1jlxezvpiwlfykuacvz1282teb,dga,0.0,1644.5,63.56,0.041666666666666664,0.0,0.0,26.0,0.23809523809523808,0.19230769230769232
porsche,legit,34.714285714285715,3373.4285714285716,313.0,40.4,1.75,0.0,7.0,0.4,0.0
iyefgdfliiuck,dga,1.1538461538461537,2597.3076923076924,75.5,1.1818181818181819,0.0,0.0,13.0,0.625,0.0
allcinema,legit,64.33333333333333,3686.5555555555557,440.5,46.285714285714285,0.5,0.0,9.0,0.8,0.0
gpjngccahpkmxs,dga,0.21428571428571427,1995.857142857143,91.6923076923077,0.4166666666666667,0.0,0.0,14.0,0.07692307692307693,0.0
bacchat,legit,36.857142857142854,2883.4285714285716,300.0,29.2,0.25,0.0,7.0,0.4,0.0
freelinkwebsite,legit,24.0,3693.733333333333,394.64285714285717,26.615384615384617,2.3333333333333335,0.2727272727272727,15.0,0.6666666666666666,0.0
gameflare,legit,27.333333333333332,3559.222222222222,359.25,24.571428571428573,0.6666666666666666,0.0,9.0,0.8,0.0
juenyfwreinbvq,dga,0.42857142857142855,2531.785714285714,269.6923076923077,2.9166666666666665,0.09090909090909091,0.0,14.0,0.4,0.0
weatherbug,legit,32.1,3127.4,368.22222222222223,35.375,9.714285714285714,2.1666666666666665,10.0,0.6666666666666666,0.0
huntington,legit,54.9,3396.0,628.3333333333334,135.625,27.428571428571427,5.333333333333333,10.0,0.42857142857142855,0.0
essuuqkkcqtlrh,dga,29.142857142857142,2466.214285714286,120.6923076923077,12.833333333333334,0.18181818181818182,0.0,14.0,0.2727272727272727,0.0
xhlcgrokfvxn,dga,0.0,1906.1666666666667,56.63636363636363,2.3,0.0,0.0,12.0,0.09090909090909091,0.0
b2blogger,legit,18.0,2415.6666666666665,244.875,10.714285714285714,0.8333333333333334,0.0,9.0,0.2857142857142857,0.1111111111111111
